Date,Open,High,Low,Close,Adj Close,Volume
2020-01-08,19.760000,19.760000,19.040001,19.190001,19.071968,44000
2020-01-09,19.250000,19.900000,18.950001,19.260000,19.141537,32100
2020-01-10,19.270000,19.270000,18.830000,19.100000,18.982521,32500
2020-01-13,19.240000,19.350000,18.879999,18.990000,18.873198,25200
2020-01-14,19.010000,19.090000,18.620001,18.700001,18.584982,33300
2020-01-15,18.680000,18.959999,18.299999,18.670000,18.555166,47700
2020-01-16,18.750000,19.000000,18.639999,18.680000,18.565105,31100
2020-01-17,18.799999,18.940001,18.309999,18.760000,18.644613,41600
2020-01-21,18.870001,19.049999,18.400000,18.820000,18.704243,43800
2020-01-22,18.910000,19.490000,18.879999,18.990000,18.873198,31600
2020-01-23,18.930000,19.110001,18.629999,18.930000,18.813566,29800
2020-01-24,18.940001,18.959999,18.420000,18.450001,18.336519,32100
2020-01-27,18.309999,18.780001,17.860001,18.129999,18.018486,37200
2020-01-28,18.200001,18.430000,17.870001,18.270000,18.157625,15900
2020-01-29,18.160000,18.610001,18.150000,18.450001,18.336519,34500
2020-01-30,18.500000,18.940001,18.330000,18.850000,18.734058,19400
2020-01-31,18.790001,18.860001,17.490000,17.730000,17.620947,54700
2020-02-03,17.750000,18.139999,17.610001,17.850000,17.740210,38000
2020-02-04,18.000000,18.400000,17.620001,17.650000,17.541439,46100
2020-02-05,17.820000,18.660000,17.770000,18.320000,18.207319,74600
2020-02-06,18.420000,18.440001,18.000000,18.000000,17.889286,29600
2020-02-07,17.959999,18.730000,17.910000,18.680000,18.565105,39500
2020-02-10,18.639999,19.559999,18.620001,18.990000,18.873198,43500
2020-02-11,19.750000,22.740000,19.750000,22.049999,21.914375,139900
2020-02-12,21.850000,24.430000,21.850000,23.629999,23.484655,119900
2020-02-13,23.400000,25.400000,23.250000,25.260000,25.104633,101600
2020-02-14,25.990000,26.290001,24.520000,25.200001,25.045002,98700
2020-02-18,25.200001,25.740000,24.930000,25.059999,24.905863,49700
2020-02-19,24.969999,25.459999,24.090000,25.370001,25.213957,65100
2020-02-20,25.440001,25.860001,24.870001,25.799999,25.641310,114500
2020-02-21,25.770000,25.790001,25.240000,25.520000,25.363035,51700
2020-02-24,24.950001,27.790001,24.180000,26.590000,26.426451,170200
2020-02-25,26.790001,26.840000,25.049999,25.309999,25.154324,104800
2020-02-26,25.510000,26.500000,24.670000,24.990000,24.836290,125700
2020-02-27,24.400000,24.400000,20.260000,21.070000,20.940403,250400
2020-02-28,19.000000,21.790001,19.000000,20.150000,20.026064,183600
2020-03-02,20.070000,22.680000,19.879999,21.959999,21.824928,152600
2020-03-03,21.719999,23.500000,21.010000,21.200001,21.069605,168400
2020-03-04,21.549999,22.350000,20.510000,21.170000,21.039789,125700
2020-03-05,20.610001,20.680000,18.620001,18.709999,18.594919,179000
2020-03-06,18.469999,18.490000,16.620001,17.530001,17.422178,216200
2020-03-09,16.200001,16.660000,14.550000,14.670000,14.613112,159800
